"ID","pc1","pc2","Finishing","Penalties","HeadingAccuracy","ShotPower","Position"
"64","5.7728529132234","-1.4493122904323","14","16","12","59","2"
"65","5.308555890534","-1.34956065767","15","22","14","59","2"
"66","5.840460313363","-1.2365177177904","12","15","13","56","2"
"67","5.7270344512438","-1.1864747434472","12","24","14","50","2"
"68","4.8932519122429","-1.5527931421906","12","32","11","58","2"
"69","5.1466309239071","-1.4262967598995","11","24","18","64","2"
"70","5.4721019398761","-0.44153849641449","12","24","25","45","2"
"71","4.8829712419357","-0.9676208910798","18","26","22","55","2"
"72","5.8036973292381","-1.1399320737145","10","12","15","53","2"
"73","5.9836856187533","-0.99856504126852","12","21","15","46","2"
"74","5.7628911655829","-1.1156479186865","18","16","16","53","2"
"75","5.7496248709679","-0.92378311024502","11","21","18","49","2"
"76","5.9626620244081","-1.6115963087654","7","19","8","57","2"
"77","4.6691812399587","-1.1606719023198","11","42","19","53","2"
"78","5.6651072246811","-1.3656341833411","14","14","11","57","2"
"79","4.1085749509617","-0.88084918229826","16","46","27","52","2"
"80","5.6525145167657","-1.2705606727379","11","21","12","53","2"
"81","5.059757862525","-1.3447088737283","16","28","13","56","2"
"82","5.3859888897261","-1.1987444974661","12","24","16","56","2"
"83","5.8928912966541","-1.3409439325096","9","16","13","59","2"
"84","6.1147653643879","-0.85808073663549","8","20","17","45","2"
"85","5.9367929686391","-1.1000079832512","13","10","18","59","2"
"86","5.7350386209704","-1.2934960905461","10","23","10","49","2"
"87","4.1463126740616","-1.6864823425517","12","41","14","64","2"
"88","5.3761714459501","-1.1931963811043","15","22","13","53","2"
"89","5.4354190410912","-1.2326442898896","10","24","12","54","2"
"90","6.0072578725408","-1.2744121496333","11","11","15","59","2"
"91","5.2412880638021","-1.4283687677587","12","31","12","55","2"
"92","5.6218483909212","-1.3347589535433","15","15","14","56","2"
"93","5.3217392985193","-0.7766772035396","19","23","24","54","2"
"94","3.568022400469","-1.1247958567615","13","47","25","68","2"
"95","4.9756708458021","-1.6564467542112","14","25","11","66","2"
"96","5.806916361709","-1.476725255813","10","21","10","54","2"
"97","4.7281230763299","-0.74776940520836","13","23","29","63","2"
"98","6.0643038609077","-1.192655424611","13","16","12","50","2"
"99","5.0982406075788","-1.3907611824681","12","24","12","59","2"
"100","5.4046647144766","-1.4930198259235","14","19","13","62","2"
"101","5.287931658984","-1.3358988968312","14","25","13","54","2"
"102","6.0734552725177","-1.2208125728715","11","12","13","55","2"
"103","5.2526611420736","-1.5884953872202","14","24","11","58","2"
"104","5.6861505244157","-1.1949988337105","19","14","17","55","2"
"105","6.062283495423","-1.3834491914354","11","11","12","59","2"
"106","5.5846951827279","-1.1263462071085","14","23","15","50","2"
"107","5.4897906164228","-1.1582006011053","17","21","13","51","2"
"108","5.5860011310124","-1.340376978652","7","15","11","59","2"
"109","5.8565799473111","-1.4038806901647","12","21","10","53","2"
"110","5.4695441416861","-1.3979412679825","15","20","14","60","2"
"111","6.0399817402592","-1.260582682088","10","19","12","53","2"
"112","5.2084827029634","-1.5780115379641","15","24","12","59","2"
"113","5.4765770375114","-1.5249062119001","16","23","10","53","2"
"114","3.586283716878","-1.4842810174355","20","58","20","59","2"
"115","4.9450283903073","-1.1844276610831","11","29","20","58","2"
"116","4.6592334398712","-1.351212960336","11","41","16","57","2"
